# NEPTS   102 NPROJ     4 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -7.3239E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -7.1637E-01  6.4312E-15  4.2115E-16  2.8305E-16  1.4271E-14
 -7.0035E-01  8.9710E-01  6.6365E-02  4.2453E-02  2.0118E+00
 -6.8432E-01  1.1713E+00  1.0176E-01  5.9180E-02  2.6645E+00
 -6.6830E-01  1.3148E+00  1.4703E-01  8.4118E-02  3.0919E+00
 -6.5228E-01  1.3990E+00  2.1663E-01  1.2321E-01  3.4777E+00
 -6.3625E-01  1.4508E+00  2.9903E-01  1.6518E-01  3.8300E+00
 -6.2023E-01  1.4761E+00  3.8163E-01  1.9922E-01  4.1140E+00
 -6.0421E-01  1.4740E+00  4.5839E-01  2.2053E-01  4.3058E+00
 -5.8818E-01  1.4938E+00  5.1377E-01  2.9505E-01  4.6053E+00
 -5.7216E-01  1.4982E+00  5.9939E-01  3.4132E-01  4.8778E+00
 -5.5614E-01  1.5176E+00  7.1403E-01  3.1243E-01  5.0881E+00
 -5.4011E-01  1.5061E+00  7.8573E-01  3.3673E-01  5.2571E+00
 -5.2409E-01  1.4564E+00  8.3448E-01  4.1212E-01  5.4060E+00
 -5.0807E-01  1.3916E+00  8.9310E-01  5.0100E-01  5.5715E+00
 -4.9204E-01  1.3341E+00  9.7801E-01  5.7158E-01  5.7673E+00
 -4.7602E-01  1.2940E+00  1.0863E+00  6.1130E-01  5.9832E+00
 -4.6000E-01  1.2693E+00  1.2040E+00  6.2560E-01  6.1978E+00
 -4.4397E-01  1.2501E+00  1.3161E+00  6.3047E-01  6.3933E+00
 -4.2795E-01  1.2242E+00  1.4141E+00  6.4418E-01  6.5650E+00
 -4.1193E-01  1.1821E+00  1.4986E+00  6.8068E-01  6.7229E+00
 -3.9590E-01  1.1196E+00  1.5782E+00  7.4603E-01  6.8875E+00
 -3.7988E-01  1.0383E+00  1.6647E+00  8.3765E-01  7.0812E+00
 -3.6386E-01  9.4508E-01  1.7688E+00  9.4598E-01  7.3196E+00
 -3.4783E-01  8.4984E-01  1.8955E+00  1.0576E+00  7.6058E+00
 -3.3181E-01  7.6282E-01  2.0423E+00  1.1587E+00  7.9277E+00
 -3.1579E-01  6.9227E-01  2.1994E+00  1.2388E+00  8.2610E+00
 -2.9976E-01  6.4250E-01  2.3522E+00  1.2927E+00  8.5748E+00
 -2.8374E-01  6.1286E-01  2.4849E+00  1.3213E+00  8.8380E+00
 -2.6772E-01  5.9768E-01  2.5834E+00  1.3306E+00  9.0233E+00
 -2.5169E-01  5.8728E-01  2.6365E+00  1.3289E+00  9.1053E+00
 -2.3567E-01  5.6985E-01  2.6344E+00  1.3224E+00  9.0533E+00
 -2.1965E-01  5.3409E-01  2.5655E+00  1.3105E+00  8.8203E+00
 -2.0362E-01  4.7253E-01  2.4144E+00  1.2828E+00  8.3395E+00
 -1.8760E-01  3.8543E-01  2.1683E+00  1.2197E+00  7.5469E+00
 -1.7158E-01  2.8516E-01  1.8432E+00  1.1022E+00  6.4613E+00
 -1.5555E-01  2.0124E-01  1.5485E+00  9.3715E-01  5.3738E+00
 -1.3953E-01  1.8603E-01  1.6145E+00  8.0776E-01  5.2166E+00
 -1.2351E-01  1.7632E-01  1.6901E+00  7.3116E-01  5.1951E+00
 -1.0748E-01  1.1469E-01  1.5406E+00  5.9021E-01  4.4909E+00
 -9.1459E-02  4.9540E-02  1.3550E+00  4.6742E-01  3.7439E+00
 -7.5436E-02  6.4890E-02  1.0994E+00  4.1086E-01  3.1502E+00
 -5.9413E-02  1.1176E-01  7.9940E-01  4.1006E-01  2.6424E+00
 -4.3389E-02  1.3034E-01  4.7581E-01  4.1185E-01  2.0360E+00
 -2.7366E-02  9.7656E-02  2.0421E-01  3.5329E-01  1.3103E+00
 -1.1343E-02  2.8700E-02  8.6816E-02  1.8730E-01  6.0562E-01
  4.6806E-03 -3.7202E-02  2.0033E-01 -6.5566E-02  1.9512E-01
  2.0704E-02 -6.9128E-02  4.9250E-01 -2.1307E-01  4.2059E-01
  3.6727E-02 -1.0560E-01  6.0476E-01  7.0939E-02  1.1402E+00
  5.2751E-02 -1.2923E-01  6.3413E-01  2.8753E-03  1.0155E+00
  6.8774E-02 -6.3193E-02  8.6025E-01  9.3547E-02  1.7812E+00
  8.4797E-02  6.7393E-02  1.0814E+00  2.3582E-01  2.7692E+00
  1.0082E-01  2.7958E-01  1.2942E+00  4.0299E-01  3.9535E+00
  1.1684E-01  5.6353E-01  1.4899E+00  5.7176E-01  5.2503E+00
  1.3287E-01  7.0890E-01  1.6268E+00  8.4738E-01  6.3661E+00
  1.4889E-01  8.7147E-01  1.7363E+00  1.1092E+00  7.4338E+00
  1.6491E-01  1.0988E+00  1.8123E+00  1.2934E+00  8.4091E+00
  1.8094E-01  1.3522E+00  1.8584E+00  1.3899E+00  9.2011E+00
  1.9696E-01  1.5705E+00  1.8829E+00  1.4118E+00  9.7305E+00
  2.1298E-01  1.7042E+00  1.8959E+00  1.3790E+00  9.9581E+00
  2.2901E-01  1.7294E+00  1.9067E+00  1.3101E+00  9.8924E+00
  2.4503E-01  1.6502E+00  1.9219E+00  1.2203E+00  9.5847E+00
  2.6105E-01  1.4921E+00  1.9449E+00  1.1209E+00  9.1159E+00
  2.7708E-01  1.2939E+00  1.9755E+00  1.0205E+00  8.5798E+00
  2.9310E-01  1.0971E+00  2.0103E+00  9.2617E-01  8.0671E+00
  3.0912E-01  9.3832E-01  2.0439E+00  8.4325E-01  7.6509E+00
  3.2515E-01  8.4263E-01  2.0697E+00  7.7589E-01  7.3765E+00
  3.4117E-01  8.2052E-01  2.0813E+00  7.2637E-01  7.2563E+00
