# NEPTS   202 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -8.6343E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -8.5166E-01  1.9300E-15 -5.0570E-14 -4.8640E-14
 -8.3989E-01  3.0489E-02  1.2143E+01  1.2173E+01
 -8.2813E-01 -2.3929E-02 -3.8422E+00 -3.8661E+00
 -8.1636E-01  2.5658E-01  3.7414E+01  3.7671E+01
 -8.0459E-01  9.8067E-04  7.0816E+00  7.0826E+00
 -7.9283E-01  4.0669E-01  7.2460E+01  7.2866E+01
 -7.8106E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.6930E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.5753E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.4576E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.3400E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.2223E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -7.1046E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.9870E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.8693E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.7516E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.6340E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.5163E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.3986E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.2810E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.1633E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.0456E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.9280E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.8103E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.6926E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.5750E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.4573E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.3396E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.2220E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -5.1043E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.9866E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.8690E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.7513E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.6336E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.5160E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.3983E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.2806E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.1630E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -4.0453E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.9277E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.8100E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.6923E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.5747E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.4570E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.3393E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.2217E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -3.1040E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.9863E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.8687E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.7510E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.6333E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.5157E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.3980E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.2803E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.1627E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -2.0450E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -1.9273E-01 -2.0193E-03 -6.6378E-01 -6.6580E-01
 -1.8097E-01  1.2487E-01  2.1863E+01  2.1987E+01
 -1.6920E-01  3.3435E-01  4.0801E+01  4.1135E+01
 -1.5743E-01  3.2688E-01  3.7832E+01  3.8159E+01
 -1.4567E-01  1.6872E-01  2.4284E+01  2.4453E+01
 -1.3390E-01  1.4682E-01  2.3792E+01  2.3939E+01
 -1.2213E-01  4.2426E-02  9.3505E+00  9.3929E+00
 -1.1037E-01  1.4308E-01  1.9661E+01  1.9804E+01
 -9.8601E-02  1.3759E-01  1.3483E+01  1.3620E+01
 -8.6835E-02  1.6835E-01  2.2865E+01  2.3033E+01
 -7.5068E-02  1.4000E-01  2.9927E+01  3.0067E+01
 -6.3302E-02  2.1747E-01  4.3713E+01  4.3930E+01
 -5.1535E-02  3.0237E-01  7.3454E+01  7.3756E+01
 -3.9768E-02  7.7011E-02  5.2268E+01  5.2345E+01
 -2.8002E-02  7.8775E-02  5.5954E+01  5.6033E+01
 -1.6235E-02  5.4464E-03  2.2318E+01  2.2324E+01
 -4.4687E-03  1.1314E-02  5.8211E+00  5.8324E+00
  7.2978E-03  0.0000E+00  0.0000E+00  0.0000E+00
  1.9064E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.0831E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.2598E-02  0.0000E+00  0.0000E+00  0.0000E+00
  5.4364E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.6131E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.7897E-02  0.0000E+00  0.0000E+00  0.0000E+00
  8.9664E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.0143E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.1320E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.2496E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.3673E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.4850E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.6026E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.7203E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.8380E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.9556E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.0733E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.1910E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.3086E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.4263E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.5440E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.6616E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.7793E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.8970E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.0146E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.1323E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.2499E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.3676E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.4853E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.6029E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.7206E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.8383E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3.9559E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.0736E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.1913E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.3089E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.4266E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.5443E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.6619E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.7796E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4.8973E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.0149E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.1326E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.2503E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.3679E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.4856E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.6033E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.7209E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.8386E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5.9563E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.0739E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.1916E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.3093E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.4269E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.5446E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.6623E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.7799E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.8976E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7.0152E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7.1329E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7.2506E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7.3682E-01  4.7680E-02  1.9920E-01  2.4689E-01
  7.4859E-01 -2.3011E-01 -8.2614E-01 -1.0563E+00
  7.6036E-01  2.1240E-01  7.3102E-01  9.4342E-01
  7.7212E-01  7.0447E-01  2.5357E+00  3.2402E+00
  7.8389E-01  8.1699E-01  2.9952E+00  3.8122E+00
  7.9566E-01  5.6528E-01  2.1227E+00  2.6880E+00
  8.0742E-01  2.1456E-01  8.6062E-01  1.0752E+00
  8.1919E-01  4.2739E-02  2.1337E-01  2.5611E-01
  8.3096E-01  1.8560E-01  6.7678E-01  8.6238E-01
  8.4272E-01  5.9571E-01  2.0866E+00  2.6823E+00
  8.5449E-01  1.0934E+00  3.8052E+00  4.8986E+00
  8.6626E-01  1.4649E+00  5.0788E+00  6.5437E+00
  8.7802E-01  1.5604E+00  5.3892E+00  6.9496E+00
  8.8979E-01  1.3571E+00  4.6709E+00  6.0280E+00
  9.0156E-01  9.6785E-01  3.3304E+00  4.2982E+00
  9.1332E-01  5.9794E-01  2.0767E+00  2.6747E+00
  9.2509E-01  4.6568E-01  1.6333E+00  2.0989E+00
  9.3686E-01  7.1497E-01  2.4330E+00  3.1480E+00
  9.4862E-01  1.3495E+00  4.4087E+00  5.7581E+00
  9.6039E-01  2.2134E+00  6.9622E+00  9.1756E+00
  9.7216E-01  3.0309E+00  9.1477E+00  1.2179E+01
  9.8392E-01  3.4996E+00  1.0031E+01  1.3530E+01
  9.9569E-01  3.4121E+00  9.1171E+00  1.2529E+01
  1.0075E+00  2.7649E+00  6.6793E+00  9.4442E+00
  1.0192E+00  1.8026E+00  3.7968E+00  5.5993E+00
  1.0310E+00  9.5320E-01  1.9639E+00  2.9171E+00
  1.0428E+00  6.3886E-01  2.2769E+00  2.9158E+00
  1.0545E+00  1.0511E+00  4.2240E+00  5.2751E+00
  1.0663E+00  2.1927E+00  6.0061E+00  8.1988E+00
  1.0781E+00  4.1116E+00  1.1367E+01  1.5479E+01
  1.0898E+00  6.0872E+00  1.9007E+01  2.5095E+01
  1.1016E+00  4.2601E+00  9.3979E+00  1.3658E+01
  1.1134E+00  4.6055E+00  8.5795E+00  1.3185E+01
  1.1251E+00  4.4751E+00  6.9154E+00  1.1390E+01
  1.1369E+00  4.0999E+00  5.3570E+00  9.4569E+00
  1.1487E+00  3.7077E+00  4.3408E+00  8.0485E+00
  1.1604E+00  3.4618E+00  3.8754E+00  7.3373E+00
  1.1722E+00  6.3845E-01  3.1059E+00  3.7443E+00
  1.1840E+00  7.5665E-01  1.8716E+00  2.6282E+00
  1.1957E+00  7.4038E+00  5.9883E+00  1.3392E+01
  1.2075E+00  1.0449E+01  9.8152E+00  2.0264E+01
  1.2193E+00  1.0520E+01  1.1435E+01  2.1955E+01
  1.2310E+00  9.8923E+00  1.0823E+01  2.0715E+01
  1.2428E+00  1.7628E+01  1.4304E+01  3.1932E+01
  1.2546E+00  1.4761E+01  8.5055E+00  2.3267E+01
  1.2663E+00  1.1669E+01  5.8651E+00  1.7534E+01
  1.2781E+00  1.2765E+01  5.3154E+00  1.8080E+01
  1.2899E+00  1.9446E+01  7.7218E+00  2.7167E+01
  1.3016E+00  2.4959E+01  1.0532E+01  3.5491E+01
  1.3134E+00  2.3834E+01  1.0834E+01  3.4668E+01
  1.3252E+00  1.7296E+01  8.2349E+00  2.5531E+01
  1.3369E+00  1.1026E+01  4.6764E+00  1.5702E+01
  1.3487E+00  9.5897E+00  2.3926E+00  1.1982E+01
  1.3605E+00  1.2692E+01  2.1248E+00  1.4817E+01
  1.3722E+00  1.5782E+01  2.8474E+00  1.8629E+01
  1.3840E+00  1.4123E+01  2.9421E+00  1.7065E+01
  1.3958E+00  7.1241E+00  1.7466E+00  8.8707E+00
  1.4075E+00 -5.2343E-01  1.8567E-01 -3.3776E-01
  1.4193E+00 -2.3862E+00 -1.5591E-01 -2.5422E+00
  1.4311E+00  3.4378E+00  1.0948E+00  4.5326E+00
  1.4428E+00  1.0555E+01  2.0994E+00  1.2655E+01
  1.4546E+00  8.9541E+00  6.4056E-01  9.5947E+00
  1.4664E+00 -1.1971E+00 -1.5526E+00 -2.7497E+00
  1.4781E+00 -1.3267E+00  1.1772E+00 -1.4950E-01
  1.4899E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5017E+00  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.31005
