# NEPTS   102 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -6.8755E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.7394E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.6034E-01  2.3397E+00 -1.4261E-01  2.1971E+00
 -6.4673E-01  5.6076E+00  3.1723E-01  5.9248E+00
 -6.3312E-01  5.2084E+00  1.8960E-01  5.3980E+00
 -6.1951E-01  6.0522E+00  3.3290E-01  6.3851E+00
 -6.0590E-01  8.5598E+00  8.5100E-01  9.4108E+00
 -5.9229E-01  8.3998E+00  8.8527E-01  9.2851E+00
 -5.7868E-01  7.8530E+00  7.0218E-01  8.5552E+00
 -5.6507E-01  1.1023E+01  1.0176E+00  1.2041E+01
 -5.5147E-01  1.5213E+01  1.5116E+00  1.6725E+01
 -5.3786E-01  1.4707E+01  1.3665E+00  1.6073E+01
 -5.2425E-01  1.0640E+01  8.6008E-01  1.1500E+01
 -5.1064E-01  9.8233E+00  1.1149E+00  1.0938E+01
 -4.9703E-01  1.2131E+01  1.9210E+00  1.4052E+01
 -4.8342E-01  8.6042E+00  1.4801E+00  1.0084E+01
 -4.6981E-01  6.8195E-01  2.0253E-02  7.0221E-01
 -4.5620E-01  1.3847E+00  4.1021E-01  1.7949E+00
 -4.4260E-01  2.3607E+00  9.7303E-01  3.3337E+00
 -4.2899E-01  2.3062E-01 -6.3815E-01 -4.0753E-01
 -4.1538E-01  5.5319E+00  2.4941E+00  8.0259E+00
 -4.0177E-01  1.0687E+01  6.4612E+00  1.7148E+01
 -3.8816E-01  1.2027E+01  8.1244E+00  2.0152E+01
 -3.7455E-01  1.0012E+01  7.2554E+00  1.7267E+01
 -3.6094E-01  6.8169E+00  5.2460E+00  1.2063E+01
 -3.4733E-01  4.3025E+00  3.5306E+00  7.8331E+00
 -3.3372E-01  3.1761E+00  2.7732E+00  5.9493E+00
 -3.2012E-01  3.1260E+00  2.8352E+00  5.9612E+00
 -3.0651E-01  3.3995E+00  3.1676E+00  6.5671E+00
 -2.9290E-01  3.3654E+00  3.2586E+00  6.6241E+00
 -2.7929E-01  2.8100E+00  2.9041E+00  5.7141E+00
 -2.6568E-01  1.9263E+00  2.2370E+00  4.1632E+00
 -2.5207E-01  1.1010E+00  1.5758E+00  2.6767E+00
 -2.3846E-01  1.2955E+00  1.9242E+01  2.0538E+01
 -2.2485E-01  8.4915E-01  8.7644E+00  9.6136E+00
 -2.1125E-01  1.7897E+00  2.1374E+01  2.3163E+01
 -1.9764E-01  2.3993E+00  2.3379E+01  2.5778E+01
 -1.8403E-01  1.7680E+00  2.2570E+01  2.4338E+01
 -1.7042E-01  8.2944E-01  2.2025E+01  2.2855E+01
 -1.5681E-01  5.4054E-01  2.2034E+01  2.2575E+01
 -1.4320E-01  6.8559E-01  2.5944E+01  2.6630E+01
 -1.2959E-01  5.9835E-01  2.6842E+01  2.7440E+01
 -1.1598E-01  3.1720E-01  2.0679E+01  2.0996E+01
 -1.0238E-01  3.8166E-01  1.6213E+01  1.6595E+01
 -8.8767E-02  7.3660E-01  1.9668E+01  2.0405E+01
 -7.5158E-02  6.1252E-01  2.0868E+01  2.1480E+01
 -6.1550E-02 -1.3275E-01  1.0121E+01  9.9878E+00
 -4.7941E-02 -3.4378E-01  9.7682E-01  6.3304E-01
 -3.4332E-02  4.0485E-01  6.8173E+00  7.2221E+00
 -2.0723E-02  1.3970E-01  4.4632E+00  4.6029E+00
 -7.1145E-03 -2.9420E-01  3.3479E+00  3.0537E+00
  6.4943E-03  0.0000E+00  0.0000E+00  0.0000E+00
  2.0103E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.3712E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.7321E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.0929E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.4538E-02  0.0000E+00  0.0000E+00  0.0000E+00
  8.8147E-02  0.0000E+00  0.0000E+00  0.0000E+00
  1.0176E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.1536E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.2897E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.4258E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.5619E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.6980E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.8341E-01  0.0000E+00  0.0000E+00  0.0000E+00
  1.9702E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2.1063E-01 -6.0393E-01  9.9595E-02 -5.0434E-01
  2.2423E-01  1.3935E+00  1.1378E+01  1.2772E+01
  2.3784E-01  6.3088E-01  4.9229E+00  5.5538E+00
  2.5145E-01  2.2863E+00  1.1272E+01  1.3558E+01
  2.6506E-01  2.0057E+00  9.1864E+00  1.1192E+01
  2.7867E-01  3.3168E+00  1.7362E+01  2.0679E+01
  2.9228E-01  5.8780E+00  2.8211E+01  3.4089E+01
  3.0589E-01  6.1916E+00  2.6848E+01  3.3040E+01
  3.1950E-01  2.1737E+00  1.2991E+01  1.5164E+01
  3.3310E-01  7.9389E-01  1.1306E+01  1.2100E+01
  3.4671E-01  3.8431E+00  2.5936E+01  2.9779E+01
  3.6032E-01  6.5077E+00  3.5831E+01  4.2339E+01
  3.7393E-01  4.6462E+00  2.6305E+01  3.0951E+01
  3.8754E-01  2.0615E+00  1.2980E+01  1.5041E+01
  4.0115E-01  1.8900E-01  6.5173E+00  6.7063E+00
  4.1476E-01  1.6722E+00  1.8076E+01  1.9748E+01
  4.2837E-01  3.0276E+00  2.1960E+01  2.4988E+01
  4.4197E-01  3.0220E+00  1.6980E+01  2.0002E+01
  4.5558E-01  3.5582E+00  1.4971E+01  1.8530E+01
  4.6919E-01  5.2972E+00  2.3700E+01  2.8998E+01
  4.8280E-01  5.9480E+00  2.5045E+01  3.0993E+01
  4.9641E-01  4.8967E+00  2.4649E+01  2.9546E+01
  5.1002E-01  2.8442E+00  2.0181E+01  2.3025E+01
  5.2363E-01  1.0609E+00  1.4331E+01  1.5392E+01
  5.3724E-01  5.1738E-01  1.0502E+01  1.1019E+01
  5.5085E-01  1.1828E+00  1.0598E+01  1.1781E+01
  5.6445E-01  2.0917E+00  1.3604E+01  1.5696E+01
  5.7806E-01  2.1771E+00  1.6088E+01  1.8265E+01
  5.9167E-01  1.2378E+00  1.4705E+01  1.5943E+01
  6.0528E-01  1.4927E-01  9.2527E+00  9.4019E+00
  6.1889E-01 -9.0975E-02  3.5602E+00  3.4692E+00
  6.3250E-01  3.0846E-01  1.8544E+00  2.1628E+00
  6.4611E-01  1.3810E-01  2.0818E+00  2.2199E+00
  6.5972E-01 -2.3290E-01 -2.4903E+00 -2.7232E+00
  6.7332E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.8693E-01  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.15413
