# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.10115E+01 -0.10040E+01 -0.84025E+00 -0.83830E+00 -0.78439E+00 -0.78439E+00 -0.46385E+00 -0.43124E+00 -0.38629E+00 -0.34239E+00 -0.33605E+00 -0.33605E+00 -0.27182E+00 -0.27182E+00 -0.19805E+00 -0.19805E+00 -0.19023E+00 -0.16969E+00 -0.80970E-01 -0.80970E-01 -0.31512E-01 -0.28230E-01 -0.28230E-01  0.00000E+00  0.59189E+00  0.62668E+00
  0.18368E-01 -0.10115E+01 -0.10040E+01 -0.84024E+00 -0.83830E+00 -0.78439E+00 -0.78439E+00 -0.46379E+00 -0.43135E+00 -0.38624E+00 -0.34267E+00 -0.33605E+00 -0.33596E+00 -0.27181E+00 -0.27140E+00 -0.19836E+00 -0.19808E+00 -0.19007E+00 -0.16973E+00 -0.80999E-01 -0.80968E-01 -0.31512E-01 -0.28272E-01 -0.28145E-01 -0.48801E-04  0.59215E+00  0.62664E+00
  0.36737E-01 -0.10115E+01 -0.10041E+01 -0.84022E+00 -0.83831E+00 -0.78440E+00 -0.78437E+00 -0.46364E+00 -0.43168E+00 -0.38608E+00 -0.34347E+00 -0.33606E+00 -0.33574E+00 -0.27180E+00 -0.27017E+00 -0.19923E+00 -0.19816E+00 -0.18964E+00 -0.16984E+00 -0.81082E-01 -0.80962E-01 -0.31512E-01 -0.28395E-01 -0.27894E-01 -0.19444E-03  0.59294E+00  0.62650E+00
  0.55105E-01 -0.10114E+01 -0.10042E+01 -0.84020E+00 -0.83833E+00 -0.78441E+00 -0.78435E+00 -0.46338E+00 -0.43222E+00 -0.38581E+00 -0.34462E+00 -0.33608E+00 -0.33547E+00 -0.27178E+00 -0.26823E+00 -0.20053E+00 -0.19830E+00 -0.18906E+00 -0.17002E+00 -0.81212E-01 -0.80950E-01 -0.31507E-01 -0.28591E-01 -0.27486E-01 -0.43466E-03  0.59424E+00  0.62630E+00
  0.73474E-01 -0.10113E+01 -0.10043E+01 -0.84016E+00 -0.83836E+00 -0.78443E+00 -0.78432E+00 -0.46302E+00 -0.43296E+00 -0.38542E+00 -0.34600E+00 -0.33610E+00 -0.33520E+00 -0.27176E+00 -0.26569E+00 -0.20216E+00 -0.19848E+00 -0.18841E+00 -0.17028E+00 -0.81378E-01 -0.80931E-01 -0.31491E-01 -0.28846E-01 -0.26935E-01 -0.76571E-03  0.59602E+00  0.62606E+00
  0.91842E-01 -0.10111E+01 -0.10045E+01 -0.84012E+00 -0.83839E+00 -0.78446E+00 -0.78430E+00 -0.46256E+00 -0.43388E+00 -0.38491E+00 -0.34749E+00 -0.33613E+00 -0.33497E+00 -0.27173E+00 -0.26270E+00 -0.20407E+00 -0.19871E+00 -0.18775E+00 -0.17060E+00 -0.81562E-01 -0.80902E-01 -0.31462E-01 -0.29143E-01 -0.26254E-01 -0.11825E-02  0.59825E+00  0.62584E+00
  0.11021E+00 -0.10110E+01 -0.10046E+01 -0.84006E+00 -0.83843E+00 -0.78449E+00 -0.78427E+00 -0.46203E+00 -0.43495E+00 -0.38426E+00 -0.34901E+00 -0.33617E+00 -0.33479E+00 -0.27169E+00 -0.25943E+00 -0.20618E+00 -0.19898E+00 -0.18709E+00 -0.17099E+00 -0.81747E-01 -0.80860E-01 -0.31417E-01 -0.29464E-01 -0.25457E-01 -0.16784E-02  0.60088E+00  0.62567E+00
  0.12858E+00 -0.10108E+01 -0.10048E+01 -0.84000E+00 -0.83847E+00 -0.78452E+00 -0.78425E+00 -0.46141E+00 -0.43616E+00 -0.38348E+00 -0.35048E+00 -0.33621E+00 -0.33464E+00 -0.27165E+00 -0.25606E+00 -0.20844E+00 -0.19929E+00 -0.18645E+00 -0.17144E+00 -0.81915E-01 -0.80802E-01 -0.31355E-01 -0.29786E-01 -0.24561E-01 -0.22460E-02  0.60385E+00  0.62562E+00
  0.14695E+00 -0.10105E+01 -0.10051E+01 -0.83993E+00 -0.83851E+00 -0.78455E+00 -0.78423E+00 -0.46073E+00 -0.43748E+00 -0.38254E+00 -0.35186E+00 -0.33625E+00 -0.33454E+00 -0.27160E+00 -0.25279E+00 -0.21076E+00 -0.19964E+00 -0.18582E+00 -0.17195E+00 -0.82045E-01 -0.80728E-01 -0.31277E-01 -0.30090E-01 -0.23582E-01 -0.28762E-02  0.60706E+00  0.62577E+00
  0.16532E+00 -0.10103E+01 -0.10053E+01 -0.83985E+00 -0.83855E+00 -0.78459E+00 -0.78423E+00 -0.45999E+00 -0.43886E+00 -0.38145E+00 -0.35313E+00 -0.33630E+00 -0.33449E+00 -0.27155E+00 -0.24983E+00 -0.21298E+00 -0.20000E+00 -0.18521E+00 -0.17250E+00 -0.82123E-01 -0.80635E-01 -0.31183E-01 -0.30357E-01 -0.22538E-01 -0.35594E-02  0.61037E+00  0.62623E+00
  0.18368E+00 -0.10101E+01 -0.10055E+01 -0.83976E+00 -0.83859E+00 -0.78463E+00 -0.78424E+00 -0.45920E+00 -0.44028E+00 -0.38019E+00 -0.35425E+00 -0.33635E+00 -0.33448E+00 -0.27149E+00 -0.24749E+00 -0.21487E+00 -0.20039E+00 -0.18461E+00 -0.17309E+00 -0.82135E-01 -0.80524E-01 -0.31073E-01 -0.30574E-01 -0.21448E-01 -0.42846E-02  0.61358E+00  0.62719E+00
  0.20205E+00 -0.10098E+01 -0.10058E+01 -0.83967E+00 -0.83863E+00 -0.78467E+00 -0.78427E+00 -0.45840E+00 -0.44172E+00 -0.37875E+00 -0.35524E+00 -0.33640E+00 -0.33451E+00 -0.27144E+00 -0.24610E+00 -0.21617E+00 -0.20078E+00 -0.18403E+00 -0.17371E+00 -0.82072E-01 -0.80396E-01 -0.30950E-01 -0.30728E-01 -0.20330E-01 -0.50405E-02  0.61639E+00  0.62886E+00
  0.22042E+00 -0.10096E+01 -0.10061E+01 -0.83958E+00 -0.83867E+00 -0.78471E+00 -0.78431E+00 -0.45758E+00 -0.44314E+00 -0.37715E+00 -0.35608E+00 -0.33645E+00 -0.33459E+00 -0.27138E+00 -0.24592E+00 -0.21659E+00 -0.20118E+00 -0.18347E+00 -0.17436E+00 -0.81931E-01 -0.80252E-01 -0.30813E-01 -0.30813E-01 -0.19205E-01 -0.58145E-02  0.61859E+00  0.62976E+00
  0.23879E+00 -0.10093E+01 -0.10063E+01 -0.83948E+00 -0.83870E+00 -0.78476E+00 -0.78436E+00 -0.45676E+00 -0.44451E+00 -0.37539E+00 -0.35678E+00 -0.33650E+00 -0.33471E+00 -0.27132E+00 -0.24702E+00 -0.21610E+00 -0.20158E+00 -0.18292E+00 -0.17502E+00 -0.81716E-01 -0.80095E-01 -0.30827E-01 -0.30666E-01 -0.18093E-01 -0.65937E-02  0.62020E+00  0.62969E+00
  0.25716E+00 -0.10091E+01 -0.10066E+01 -0.83938E+00 -0.83873E+00 -0.78480E+00 -0.78443E+00 -0.45597E+00 -0.44581E+00 -0.37349E+00 -0.35736E+00 -0.33655E+00 -0.33487E+00 -0.27127E+00 -0.24918E+00 -0.21489E+00 -0.20196E+00 -0.18240E+00 -0.17569E+00 -0.81433E-01 -0.79930E-01 -0.30773E-01 -0.30511E-01 -0.17013E-01 -0.73644E-02  0.62142E+00  0.62952E+00
  0.27553E+00 -0.10088E+01 -0.10068E+01 -0.83929E+00 -0.83876E+00 -0.78483E+00 -0.78451E+00 -0.45521E+00 -0.44703E+00 -0.37146E+00 -0.35783E+00 -0.33660E+00 -0.33507E+00 -0.27121E+00 -0.25204E+00 -0.21325E+00 -0.20233E+00 -0.18190E+00 -0.17635E+00 -0.81097E-01 -0.79761E-01 -0.30661E-01 -0.30350E-01 -0.15985E-01 -0.81124E-02  0.62243E+00  0.62925E+00
  0.29390E+00 -0.10086E+01 -0.10070E+01 -0.83920E+00 -0.83878E+00 -0.78487E+00 -0.78460E+00 -0.45451E+00 -0.44814E+00 -0.36936E+00 -0.35819E+00 -0.33665E+00 -0.33530E+00 -0.27116E+00 -0.25529E+00 -0.21146E+00 -0.20267E+00 -0.18144E+00 -0.17700E+00 -0.80726E-01 -0.79594E-01 -0.30501E-01 -0.30187E-01 -0.15027E-01 -0.88229E-02  0.62333E+00  0.62891E+00
  0.31226E+00 -0.10084E+01 -0.10072E+01 -0.83912E+00 -0.83880E+00 -0.78490E+00 -0.78468E+00 -0.45387E+00 -0.44912E+00 -0.36723E+00 -0.35848E+00 -0.33669E+00 -0.33556E+00 -0.27112E+00 -0.25866E+00 -0.20968E+00 -0.20298E+00 -0.18103E+00 -0.17763E+00 -0.80340E-01 -0.79434E-01 -0.30310E-01 -0.30028E-01 -0.14158E-01 -0.94809E-02  0.62416E+00  0.62853E+00
  0.33063E+00 -0.10082E+01 -0.10074E+01 -0.83904E+00 -0.83882E+00 -0.78493E+00 -0.78477E+00 -0.45331E+00 -0.44997E+00 -0.36516E+00 -0.35869E+00 -0.33672E+00 -0.33584E+00 -0.27108E+00 -0.26192E+00 -0.20804E+00 -0.20325E+00 -0.18066E+00 -0.17821E+00 -0.79962E-01 -0.79286E-01 -0.30104E-01 -0.29877E-01 -0.13392E-01 -0.10071E-01  0.62492E+00  0.62814E+00
  0.34900E+00 -0.10081E+01 -0.10075E+01 -0.83897E+00 -0.83883E+00 -0.78496E+00 -0.78485E+00 -0.45283E+00 -0.45068E+00 -0.36322E+00 -0.35884E+00 -0.33675E+00 -0.33612E+00 -0.27105E+00 -0.26490E+00 -0.20662E+00 -0.20348E+00 -0.18035E+00 -0.17872E+00 -0.79615E-01 -0.79157E-01 -0.29904E-01 -0.29741E-01 -0.12745E-01 -0.10580E-01  0.62560E+00  0.62776E+00
  0.36737E+00 -0.10079E+01 -0.10076E+01 -0.83892E+00 -0.83884E+00 -0.78498E+00 -0.78491E+00 -0.45246E+00 -0.45124E+00 -0.36153E+00 -0.35894E+00 -0.33678E+00 -0.33638E+00 -0.27102E+00 -0.26743E+00 -0.20546E+00 -0.20366E+00 -0.18010E+00 -0.17916E+00 -0.79320E-01 -0.79051E-01 -0.29725E-01 -0.29626E-01 -0.12228E-01 -0.10992E-01  0.62616E+00  0.62743E+00
  0.38574E+00 -0.10079E+01 -0.10077E+01 -0.83888E+00 -0.83884E+00 -0.78499E+00 -0.78496E+00 -0.45218E+00 -0.45164E+00 -0.36020E+00 -0.35901E+00 -0.33680E+00 -0.33661E+00 -0.27100E+00 -0.26936E+00 -0.20460E+00 -0.20379E+00 -0.17992E+00 -0.17949E+00 -0.79095E-01 -0.78972E-01 -0.29585E-01 -0.29539E-01 -0.11851E-01 -0.11296E-01  0.62659E+00  0.62717E+00
  0.40411E+00 -0.10078E+01 -0.10078E+01 -0.83886E+00 -0.83885E+00 -0.78500E+00 -0.78499E+00 -0.45202E+00 -0.45188E+00 -0.35935E+00 -0.35905E+00 -0.33681E+00 -0.33676E+00 -0.27099E+00 -0.27057E+00 -0.20408E+00 -0.20387E+00 -0.17981E+00 -0.17970E+00 -0.78955E-01 -0.78924E-01 -0.29496E-01 -0.29484E-01 -0.11623E-01 -0.11483E-01  0.62686E+00  0.62701E+00
  0.42247E+00 -0.10078E+01 -0.10078E+01 -0.83885E+00 -0.83885E+00 -0.78500E+00 -0.78500E+00 -0.45196E+00 -0.45196E+00 -0.35906E+00 -0.35906E+00 -0.33681E+00 -0.33681E+00 -0.27099E+00 -0.27099E+00 -0.20390E+00 -0.20390E+00 -0.17977E+00 -0.17977E+00 -0.78907E-01 -0.78907E-01 -0.29465E-01 -0.29465E-01 -0.11546E-01 -0.11546E-01  0.62695E+00  0.62695E+00
  0.44084E+00 -0.10078E+01 -0.10078E+01 -0.83885E+00 -0.83885E+00 -0.78500E+00 -0.78500E+00 -0.45195E+00 -0.45195E+00 -0.35919E+00 -0.35919E+00 -0.33679E+00 -0.33679E+00 -0.27080E+00 -0.27080E+00 -0.20397E+00 -0.20397E+00 -0.17976E+00 -0.17976E+00 -0.78937E-01 -0.78937E-01 -0.29488E-01 -0.29488E-01 -0.11552E-01 -0.11552E-01  0.62694E+00  0.62694E+00
