# NEPTS   102 NPROJ     6 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -1.0349E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -1.0115E+00  1.0780E+01  4.1410E+01  5.3696E+00  2.8690E-01  3.1144E-01  1.2825E+02
 -9.8815E-01  1.0780E+01  4.1410E+01  5.3696E+00  2.8690E-01  3.1144E-01  1.2825E+02
 -9.6476E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -9.4137E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -9.1798E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -8.9458E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -8.7119E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -8.4780E-01  1.3019E+01  2.4507E+01  3.4992E+01  3.0255E+00  1.9204E+00  2.3480E+02
 -8.2441E-01  3.1523E+00  6.1212E+00  8.3924E+00  5.9099E-01  4.5248E-01  5.6290E+01
 -8.0102E-01  3.9902E+00  5.8699E-01  2.5003E+01  2.2183E+00  2.5537E+00  1.2825E+02
 -7.7763E-01  3.9902E+00  5.8699E-01  2.5003E+01  2.2183E+00  2.5537E+00  1.2825E+02
 -7.5424E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -7.3084E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -7.0745E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -6.8406E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -6.6067E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -6.3728E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
