   2
BERILLIUM BULK                           E -2.9256625878186E+01 DE-1.9E-08( 13)
 BE -1.322132116444E+00  0.000000000000E+00  8.975000000000E-01  2.159170641539E-16  1.472380564046E-16  8.208818645448E-16
 BE -6.610660582221E-01 -1.145000000000E+00 -8.975000000000E-01 -2.205429934231E-16 -1.333602685968E-16 -8.255077938141E-16
   2
BERILLIUM BULK                           E -2.9256939800629E+01 DE 1.8E-08(  7)
 BE -1.316250440001E+00  0.000000000000E+00  8.916766801857E-01  7.365147071029E-17  1.120921631216E-17  1.738773745583E-15
 BE -6.581252200004E-01 -1.139906318783E+00 -8.916766801857E-01 -7.365147071029E-17 -2.046107485070E-17 -1.738773745583E-15
   2
BERILLIUM BULK                           E -2.9257131611817E+01 DE 5.6E-07( 18)
 BE -1.305951660774E+00  0.000000000000E+00  8.817032120696E-01 -3.072488391472E-16 -1.864488801846E-17  1.336832703668E-15
 BE -6.529758303871E-01 -1.130987314345E+00 -8.817032120696E-01  3.072488391472E-16  7.080064845278E-18 -1.341458632937E-15
   2
BERILLIUM BULK                           E -2.9257133061820E+01 DE-1.0E-06(  5)
 BE -1.305997727350E+00  0.000000000000E+00  8.819343662741E-01  1.545203105216E-17  6.642049440759E-17 -3.348665574999E-17
 BE -6.529988636752E-01 -1.131027209170E+00 -8.819343662741E-01 -1.545203105216E-17 -6.410752977296E-17  3.348665574999E-17
   2
BERILLIUM BULK                           E -2.9257135164744E+01 DE 2.5E-08( 10)
 BE -1.306018910860E+00  0.000000000000E+00  8.825183979459E-01  8.572222840599E-17 -1.770959687857E-16  9.842270129082E-16
 BE -6.530094554302E-01 -1.131045554628E+00 -8.825183979459E-01 -8.109629913671E-17  1.794089334204E-16 -9.842270129082E-16
   2
BERILLIUM BULK                           E -2.9257135221890E+01 DE-5.9E-08(  6)
 BE -1.305961650270E+00  0.000000000000E+00  8.825060045405E-01 -1.221814644510E-16 -2.195314889360E-17  8.734298414143E-16
 BE -6.529808251348E-01 -1.130995965502E+00 -8.825060045405E-01  1.129296059125E-16  2.657907816288E-17 -8.734298414143E-16
   2
BERILLIUM BULK                           E -2.9257135200477E+01 DE-6.3E-08(  9)
 BE -1.305932365798E+00  0.000000000000E+00  8.825040728591E-01  1.758694211175E-16  1.002187108998E-16  1.242682033787E-15
 BE -6.529661828989E-01 -1.130970604405E+00 -8.825040728591E-01 -1.758694211175E-16 -9.327981699590E-17 -1.242682033787E-15
   2
BERILLIUM BULK                           E -2.9257217601673E+01 DE 4.3E-07(  5)
 BE -1.305538727702E+00  0.000000000000E+00  8.824944446775E-01 -7.700306473226E-17 -5.131609396065E-17  7.175128629429E-16
 BE -6.527693638510E-01 -1.130629703814E+00 -8.824944446775E-01  7.700306473226E-17  4.437720005674E-17 -7.221387922122E-16
   2
BERILLIUM BULK                           E -2.9256625878186E+01 DE-1.9E-08( 13)
 BE -1.322132116444E+00  2.313432777197E-17  8.975000000000E-01  2.778100535010E-16  1.250030638308E-16  1.191640316832E-15
 BE -6.610660582221E-01 -1.145000000000E+00 -8.975000000000E-01 -2.658819830441E-16 -1.205549932243E-16 -1.191640316832E-15
   2
BERILLIUM BULK                           E -2.9256939800629E+01 DE 1.8E-08(  7)
 BE -1.316250440002E+00  2.303141171012E-17  8.916766801855E-01 -2.063712749819E-16  7.734320228885E-17  1.552393704142E-15
 BE -6.581252200008E-01 -1.139906318784E+00 -8.916766801855E-01  2.060151436215E-16 -6.710229218946E-17 -1.552393704142E-15
   2
BERILLIUM BULK                           E -2.9257132143011E+01 DE-5.4E-07( 23)
 BE -1.305951660774E+00  2.285120631965E-17  8.817032120627E-01 -2.512684361408E-17  5.379703514636E-17  1.086404867862E-15
 BE -6.529758303870E-01 -1.130987314345E+00 -8.817032120627E-01  2.342768936190E-17 -4.816378803959E-17 -1.086404867862E-15
   2
BERILLIUM BULK                           E -2.9257133393446E+01 DE 2.5E-08( 10)
 BE -1.306082656759E+00  2.285349845371E-17  8.820057645330E-01 -2.380958810311E-16  5.060068995912E-17  1.315344360911E-15
 BE -6.530413283797E-01 -1.131100760196E+00 -8.820057645330E-01  2.391181785445E-16 -4.959397444176E-17 -1.315344360911E-15
   2
BERILLIUM BULK                           E -2.9257134441887E+01 DE 5.9E-08( 10)
 BE -1.306021556046E+00  2.285242932915E-17  8.822937424178E-01  1.071091897896E-17  3.303654424243E-17  1.737662364158E-15
 BE -6.530107780231E-01 -1.131047845426E+00 -8.822937424178E-01 -1.032206790189E-17 -3.665635205959E-17 -1.737662364158E-15
   2
BERILLIUM BULK                           E -2.9257135281501E+01 DE-6.6E-07(  9)
 BE -1.305759438430E+00  2.284784286251E-17  8.825308963524E-01  6.937365136057E-17  1.326114350841E-16  1.961477992155E-15
 BE -6.528797192151E-01 -1.130820844912E+00 -8.825308963524E-01 -6.250599072668E-17 -1.316058383948E-16 -1.961477992155E-15
   2
BERILLIUM BULK                           E -2.9257217902757E+01 DE 4.1E-07(  5)
 BE -1.305575057773E+00  2.284461661719E-17  8.825448333270E-01  8.816739161154E-17  2.250199374822E-17  1.378014737970E-15
 BE -6.527875288865E-01 -1.130661166579E+00 -8.825448333270E-01 -8.980486583220E-17 -1.340179934663E-17 -1.378014737970E-15
