   2
BERILLIUM BULK                           E -2.9257217581774E+01 DE-2.0E-07( 11)
 BE -1.305538729071E+00  1.175009441523E-16  8.824944450000E-01  1.352771836369E-16  2.718482764625E-16  6.658020847248E-16
 BE -6.527693645355E-01 -1.130629705000E+00 -8.824944450000E-01 -1.399031129062E-16 -2.672223471932E-16 -6.658020847248E-16
   2
BERILLIUM BULK                           E -2.9257217664336E+01 DE-2.3E-08(  6)
 BE -1.305610027936E+00  1.175073611844E-16  8.825587891061E-01 -3.586787765594E-17  2.803126900352E-17  3.555617937626E-15
 BE -6.528050139678E-01 -1.130691451628E+00 -8.825587891061E-01  3.586787765594E-17 -2.803126900352E-17 -3.555617937626E-15
   2
BERILLIUM BULK                           E -2.9257217669292E+01 DE 1.6E-08(  7)
 BE -1.305640705337E+00  1.175101222083E-16  8.825945972665E-01  2.718345463764E-16 -1.386200424729E-17  1.576464084246E-15
 BE -6.528203526685E-01 -1.130718019037E+00 -8.825945972665E-01 -2.764604756456E-16  9.236074978021E-18 -1.581090013516E-15
   2
BERILLIUM BULK                           E -2.9257217581773E+01 DE-2.0E-07( 11)
 BE -1.305538729071E+00 -3.649225840766E-17  8.824944450000E-01  4.722784037149E-17 -6.266353916299E-17  5.543956245396E-16
 BE -6.527693645355E-01 -1.130629705000E+00 -8.824944450000E-01 -4.842086262407E-17  6.266353916299E-17 -5.590215538089E-16
   2
BERILLIUM BULK                           E -2.9257217664336E+01 DE-2.3E-08(  6)
 BE -1.305610027935E+00 -3.649491442792E-17  8.825587891056E-01  2.409402570425E-16  4.696202786037E-17  2.850934294971E-15
 BE -6.528050139676E-01 -1.130691451628E+00 -8.825587891056E-01 -2.352418660936E-16 -4.696202786037E-17 -2.850934294971E-15
   2
BERILLIUM BULK                           E -2.9257217669292E+01 DE 1.6E-08(  7)
 BE -1.305640705337E+00 -3.649639075244E-17  8.825945972667E-01 -1.560341594870E-16 -3.939738143529E-17  1.696564542976E-15
 BE -6.528203526687E-01 -1.130718019037E+00 -8.825945972667E-01  1.638965898663E-16  4.633627533920E-17 -1.696564542976E-15
